Episode number, Episode reward
1025,-1267.8139535503246
1026,-1414.3776931506345
1027,-1551.116211220784
1028,-878.4905794477503
1029,-1146.8470995270009
1030,-1304.410194383593
1031,-1169.533807304184
1032,-1917.3022981250383
1033,-1062.461791787251
1034,-1161.3850717265084
1035,-1095.1683423036536
1036,-2068.3252772701694
1037,-2153.000901559002
1038,-1244.2555844678052
1039,-2217.8934535740204
1040,-2391.7601360577664
1041,-1929.686170526792
1042,-1390.6848420320628
1043,-1351.6446011646294
1044,-1356.491540475088
1045,-1212.9600087365802
1046,-2236.206688530997
1047,-1421.2729612216724
1048,-1571.7824516763585
1049,-1186.1881550740984
1050,-1236.859187650349
1051,-2195.2128590111
1052,-1464.6330621797517
1053,-1378.2981531702671
1054,-1351.113990188481
1055,-884.4530351419996
1056,-1822.8680030063135
1057,-1199.7920605926508
1058,-1824.8766437119775
1059,-1574.650780414112
1060,-1404.0232500012514
1061,-2095.194905706082
1062,-1507.758839904976
1063,-1264.8722831725659
1064,-1214.3868797453083
1065,-1991.4899327988048
1066,-1565.8432545652881
1067,-1219.79050572566
1068,-1277.656929029117
1069,-1179.9060578889548
1070,-1094.0124384828098
1071,-1060.6016527458626
1072,-1070.5922759975501
1073,-1566.942469506839
1074,-1451.0349688248673
1075,-1446.6274150538045
1076,-864.6971872592374
1077,-1342.6258344149294
1078,-1265.5712415901057
1079,-1486.0290775759024
1080,-2075.055058187429
1081,-1229.5212459991956
1082,-2208.031369781697
